nom,image,lien,ville,categorie,note,nombre_de_votes,prix,description
Chasse au trésor à Aix-en-Provence ,https://www.babasport.fr/images/uploads/activity_attachment/path/8994/Chasse_au_tre_sor_a__Aix-en-Provence.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/2148-chasse-au-tresor-a-aix-en-provence-paca,Aix-En-Provence,Activités urbaines,4.69,13,20 €,"
La ville tremble parce que le Dr Crypto, un criminel très perturbé, détient des innocents en otage dans des lieux historiques Aixois ! C'est en relevant les défis et en résolvant les énigmes que vous parviendrez à en délivrer un maximum mais attention... l'heure tourne !Cette chasse au trésor est également l'occasion d'apprendre des anecdotes sur la ville tout en s'amusant.
Cohésion d'équipe, perspicacité, stratégie devront être au rendez-vous afin de faire gagner votre équipe !
Activité possible en anglais, le spécifier lors de votre demande.
"
Atelier création et dégustation de Pastis - Aix,https://www.babasport.fr/images/uploads/activity_attachment/path/19384/13__aix_marseille__maixent_dubois__pastis_1923_60__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/4676-atelier-pastis-a-aix-en-provence,Aix-En-Provence,Activités urbaines,5.0,2,65 €,"
Nous vous proposons un atelier de 2h durant lequel les participants apprennent à composer leur pastis avec différentes plantes locales.L'atelier débute par une visite de la distillerie et une explication du processus de fabrication du pastis.Ensuite, une dégustation de quelques pastis nous permet de comprendre la variété des saveurs inhérentes à cette boisson.Enfin l'atelier à proprement parler permets à chacun des participants de réfléchir et créer sa propre recette de pastis à partir des vingtaines de macérations proposées par la distillerie. Chaque participant repart avec sa bouteille de 37.5cl.
Pourquoi faire cette activité ?
Cette opportunité offre la possibilité aux participants d'en découvrir plus sur l'univers du pastis et sur sa fabrication tout en bénéficiant de l'expertise et de l'accompagnement du producteur. C'est également l'occasion de partager un moment convivial lors d'une activité qui sort de l'ordinaire.
"
Atelier chorégraphie à Aix-en-Provence ,https://www.babasport.fr/images/uploads/activity_attachment/path/14558/cours-de-danse-dirty-dancing-1200x675-cropped.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/3525-atelier-choregraphie-special-evjf-cours-de-danse,Aix-En-Provence,EVJF,5.0,2,230 €,"
Vous organisez un enterrement de vie de jeune fille et vous ne savez pas comment vous y prendre ? 
Pas de panique, partez à la découverte d'une journée exceptionnelle où la danse fera voyager chacune d'entre vous.
Que vous ayez une préférence pour un style de danse ou un style de musique, les professeurs sauront satisfaire vos exigences. 
L'animateur vous propose d'apprendre une chorégraphie durant deux heures sur la musique que vous le souhaitez. Bien sûr, si vous êtes en panne d'idées, il vous propose des thèmes indémodables tels que les chorégraphies de ""Beyoncé"", ""Dirty Dancing"" ou encore ""Michael Jackson"".
Vous avez également la possibilité de reproduire une petite chorégraphie sur la musique de votre choix afin que vous puissiez la reproduire le jour du mariage. Le professeur pourra vous filmer et vous prendre en photo à la fin de l'événement sur votre téléphone portable afin que vous puissiez vous entraîner chacune de votre côté par la suite jusqu'au jour du mariage et garder un souvenir de cette activité entre filles.
Les professionnels se déplacent sur le lieu de votre choix. Que vous soyez passionnés de danse ou débutant, notre partenaire saura s'adapter à vous ainsi qu'à vos copines, afin que tout le monde puisse participer et profiter de cette activité fun et originale.
Attention : cette activité se pratique à domicile, l'animateur se déplace chez vous ou dans une salle privée de votre choix.
"
Quiz immersif dans un Décor de Jeu Télé à Aix-en-Provence,https://www.babasport.fr/images/uploads/activity_attachment/path/19607/HAD_9611_petit.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/4727-quiz-immersif-dans-un-decor-de-jeu-tele-a-aix-en-provence,Aix-En-Provence,Activités insolites,4.75,4,23 €,"
Le premier quiz immersif dans un décor de plateau télé réservé spécialement pour vous et vos amis !
Ne regardez plus Questions pour un Champion, jouez-le !
Avec ses 3 manches, ses jokers et ses questions signatures, tout le monde peut gagner jusqu'au dernier buzz.
Les questions sont toujours accessibles et surprenantes, et c'est vous qui choisissez les thématiques qui vous plaisent.
Vous pouvez même personnaliser une partie des questions (en option) !
Une session de quiz comprend 2 parties de 30 à 40 minutes chacune. Idéal pour les anniversaires, les EVJF/EVG ou encore les team building. 
3 raisons de faire cette activité :

Une activité unique à faire en famille et/ou entre amis.
Un quiz fun, conviviale et accessible à tous.
Une expérience personnalisable et personnalisée selon les goûts et l'âge des joueurs.

"
Visite guidée d'Aix-en-Provence en Segway - 13100,https://www.babasport.fr/images/uploads/activity_attachment/path/3353/Visite_guide_e_d_Aix-en-Provence_en_Segway_-_13001.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/924-activite-visite-segway-aix-en-provence-13100,Aix-En-Provence,Activités insolites,5.0,17,30 €,"
Fun et facile, venez découvrir Aix d’une autre façon ! Vous découvrirez la ville aux 1000 fontaines ainsi que la cité phocéenne de façon ludique grâce à des parcours adaptés et encadrés. 
Vous aurez entre autres la possibilité d'admirer les éléments suivants : Rotonde, Cours Mirabeau, place de la Mairie, pavillon Vendôme, Thermes Sextius, Cathédrale Saint Sauveur, Place des Prêcheurs, Palais de Justice, église saint Jean de Malte, fontaine des quatre dauphins, bibliothèque Méjanes, grand Théâtre de Provence, allées Provençales.
Les départs se font généralement au niveau de la Rotonde mais cela peut être adapté selon les demandes. 
3 raisons de faire cette activité :

Sécurité 
Expérience 
Bonne humeur

"
Randonnée Buggy entre Aix en provence et Marseille ,https://www.babasport.fr/images/uploads/activity_attachment/path/2713/IMG_2198.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/789-centre-tout-terrain-randonnee-buggy-entre-aix-en-provence-et-marseille-13,Aix-En-Provence,Activité mécanique,5.0,6,199 €,"
Une randonnée en buggy tout terrain d'une durée de 2 heures.Situé entre Aix-en-Provence et Marseille dans la région PACA, sous le soleil provincial, notre centre spécialisé dans le tout-terrain vous accueille pour une randonnée en buggy. 
Vous serez encadré par un moniteur qui vous donnera des conseils techniques à la conduite tout terrain des buggys Renli 500 cm³ afin de profiter pleinement de cette activité. Avant la randonnée, une initiation individuelle est prévue afin de vous permettre de vous familiariser avec le buggy. Ensuite, vous partirez en groupe pour une balade sur chemin au sein d'un domaine de plus de 250 hectares.
Le permis de conduire n'est pas obligatoire pour cette activité. 
Pour les duos, il est possible de changer de conducteur au cours de la randonnée au bout d'une heure.
3 raisons de faire cette activité ? 

Ludique.
Sensationnelle.
Conviviale.

"
Rallye gourmand à Annecy - City game digital,https://www.babasport.fr/images/uploads/activity_attachment/path/34689/gourmand2__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/7137-rallye-gourmand-annecy-particuliers-team-building,Annecy,Activités insolites,4.0,2,21 €,"
Plongez dans l'univers délicieux de la cuisine en vous lançant dans des défis excitants directement depuis vos smartphones et ce, tout au long de votre parcours. Explorez les délices culinaires de la région tout en parcourant la ville ! Entre les arrêts dégustations et les défis ludiques et gourmands, vous allez devoir faire preuve d'esprit d'équipe tout au long de l'activité ! Chaque défi ajoutera une touche ludique à votre aventure gastronomique.Le principe est simple : 
- Vous serez en équipes composées de 2 à 5 personnes.- Chaque équipe évolue en autonomie et arpente les rues grâce à la géolocalisation. Vous vous rendez sur les points d'intérêt pour accéder aux différents défis.
Ce qui vous attend : 

1 à 2 Arrêts dégustations sur le parcours ;
Quiz et QCM ;
Blind test ;
Défis photos sur la gastronomie ;
Culture générale, anecdotes insolites, actualités gourmandes liées à la ville ;
Défis fun et créatifs !
Expérience gastronomique et compétitive : chaque équipe joue avec l’objectif de remporter le plus de points.

Laissez votre appétit vous guider dans ce rallye culinaire qui vous réserve de délicieuses surprises et des défis à relever. À vos fourchettes, prêts, partez !
"
City game digital à Annecy - Jeu de piste et défis,https://www.babasport.fr/images/uploads/activity_attachment/path/33988/Photo_de_groupe_17__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/7051-city-game-digital-annecy-jeu-interactif-culturef-competitif,Annecy,Activités insolites,4.0,2,14 €,"
Envie de vivre une expérience excitante en autonomie en explorant la ville ? Que ce soit à travers une balade culturelle ou en relevant des défis palpitants en compétition, découvrez une activité idéale pour des sorties entre amis ou en famille mais aussi pour des Team Building pour renforcer la cohésion d'équipe, stimuler la communication et mettre en avant votre marque employeur !
On vous propose 2 modes de jeu aussi divertissants les uns que les autres, à vous de choisir :

City game culturel et convivial : balade culturelle pour ceux qui cherchent à parcourir la ville tranquillement. Vous découvrirez le centre et visiterez les différents points d'intérêts intégrés à notre plateforme de jeu. Chaque point d'intérêt contiendra un descriptif culturel et historique et des défis en lien avec le lieu visité (patrimoine, culture générale, anecdotes insolites et actualité liée à la ville) ;
City game compétitif et challengeant : si vous êtes de grands compétiteurs, vous devez choisir cette option. Plus de 30 étapes et autant de challenges, une course contre la montre vous attend, comme le format culturel mais avec un fonctionnement plus compétitif et sportif. Vous aurez un temps limité pour vous rendre sur certaines balises, rencontrer des challenges pour les relever avec tactique et stratégie. L'objectif : réaliser le plus de défis possible en un minimum de temps ! (bonus, malus, questions funs et décalées). Préparez-vous à une bonne dose d'adrénaline !

Ce qu'il faut savoir :- Les défis qui vous attendent : QCM, questions ouvertes, blind-tests, défis photo...- 2 à 5 personnes par équipe.- L'activité se fait avec vos smartphones/tablettes sur demande pour les entreprises.- 1h30 à 3h d'activité. 
Activité possible à faire en Français et en Anglais.
"
Le Défi du Vin à Annecy - à domicile ou Lieu de votre choix ,https://www.babasport.fr/images/uploads/activity_attachment/path/30368/exxxe.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/6596-defi-du-vins-annecy-lieu-de-votre-choix,Annecy,Activités urbaines,,,39 €,"
À la recherche d'un défi inoubliable et hilarant ? Relevez le Défi du Vin ! une activité idéale pour les EVG, EVJF et Team Building. Rassemblez vos amis ou collègues, formez une ou plusieurs équipes et lancez-vous dans 6 épreuves aussi insolites que divertissantes autour du vin !

Jeu du sens  : Sentez puis dégustez les vins et essayez de trouver les arômes qu'ils contiennent.
Juste prix : Saurez-vous reconnaitre la valeur des vins à l'aveugle ? (3 vins à tester de à 5€, 10 et 20€)
Quiz : un quiz fun et décalé de 10 questions autour du vin vous attend ! Qui sera le plus grand expert parmi vous ? 
Course aux bouchons : qui sera la plus rapide pour déboucher le vin le plus vite possible ?
Oscar du Mime : faites la meilleure imitation d'un sommelier. Qui saura briller sur la scène et remporter le titre du meilleur acteur ?
Blind test : pour finir le défi en beauté, une épreuve de connaissances musicales autour du vin et de ses adeptes vous attend.

Nous nous déplaçons chez vous pour vous faire découvrir ce nouveau jeu !Alors, prêts à défier vos sens dans une expérience oenologique inoubliable ?
"
Le rallye de la mariée - City game spécial EVJF à Annecy,https://www.babasport.fr/images/uploads/activity_attachment/path/30190/La_rallye_de_la_mari%C3%A9e_-_Jeu_de_piste_sp%C3%A9cial_EVJF_5__2___1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/6562-le-rallye-de-la-mariee-city-game-special-evjf-a-annecy,Annecy,EVJF,4.0,2,9 €,"
Embarquez dans une aventure sur-mesure truffée d'anecdotes sur la future mariée et faites de l'EVJF un super moment avec le RALLYE de la mariée qui comprend : 

Une balade ludique du centre-ville ;
8 à 12 points d'étapes constitués de challenges funs (et personnalisés avec l'option) ;
Une spécialité locale à découvrir si vous choisissez l'option stop gourmand.

Au cœur de la ville, vous pourrez découvrir le patrimoine et les curiosités du centre ville tout en réalisant des épreuves et défis autour de la future mariée, le tout avec vos propres smartphones !
Vous parcourez 8 à 12 points d'étapes constitués de 3 questions, challenges et défis. Celles-ci prennent la forme d'une question d'observation ou de culture générale sur la ville et de défis funs (Blind tests, challenge photo et questions)
Profitez également en option d'une spécialité locale à emporter lors d'une des étapes et d'une personnalisation des questions pour la faire à votre sauce.
C'est un jeu en autonomie à réaliser à votre rythme et sans contrainte horaire !
Pourquoi faire cette activité ?

Un Jeu 100% personnalisé pensé pour les enterrements de vie de jeune fille ;
Un bon moyen de découvrir la destination de l'EVJF ;
Un moment fun et de partage ;
Des souvenirs pour la future mariée (bon pour des photos à imprimer) ;
Une spécialité locale à découvrir.
Vous jouerez avec vos propres smartphones en toute autonomie !

Alors prêtes à relever les défis et à découvrir cette expérience unique avant le JOUR J ?
Pour tirer pleinement parti de votre EVJF et capturer vos plus beaux moments, on vous propose d'inclure le Shooting photo à Annecy  dans votre programme !
"
Vol en Parapente à Annecy - 74,https://www.babasport.fr/images/uploads/activity_attachment/path/15806/Vol_Performance.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/2236-parapente-annecy-74,Annecy,Activité Aérienne,4.91,22,95 €,"
Rejoignez cette petite équipe de moniteurs professionnels passionnés qui vous amènent à découvrir le parapente dans un contexte convivial et fun.
Nous décollons du Col de la Forclaz pour un vol magique, dans un paysage unique, entre lac et montagne.
Vous aurez la chance de découvrir le lac d'Annecy d'une manière extraordinaire. Surnommé “le lac bleu”, le lac d’Annecy est réputé pour être un des lacs les plus propres du monde. Le lac a une température de 6°C en hiver et 22°C en été, il tempère le climat montagnard et empêche les températures extrêmes. C’est l’endroit idéal pour une petite baignade après un vol en parapente !
Rendez-vous prévu au Parking Doussard, Route de la Plaine, 74210 Doussard.Les accompagnateurs doivent rester sur le lieu de l'atterrissage. 
Le vol sera adapté en fonction de vos envies et de votre expérience. Vous pourrez piloter le parapente si les conditions le permettent ou faire quelques acrobaties si le cœur vous en dit.
L’atterrissage se fait dans un climat de douceur, absolument rien de brusque !
Un baptême de parapente (vol en biplace) accessible à tous, petits et grands ! 
"
